pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
S.103	1Soil	Desert steppe	other	other	S.103	0.150748561	-0.046877048			
S.112	1Soil	Temperate grassland	Stipa	Gramineae	S.112	0.192492733	0.04565545			
S.113	1Soil	Temperate grassland	Stipa	Gramineae	S.113	0.24248855	0.039132691			
S.14	1Soil	Warm-temperate grassland	Stipa	Gramineae	S.14	0.222310254	0.054321629			
S.16	1Soil	Warm-temperate grassland	Artemisia Linn.	other	S.16	0.211778138	0.054679657			
S.21	1Soil	Warm-temperate grassland	Agropyron	Gramineae	S.21	0.216218849	0.04600266			
S.24	1Soil	Temperate grassland	Artemisia Linn.	Asteraceae	S.24	0.21438852	0.032522535			
S.243	1Soil	Temperate grassland	Agropyron	Gramineae	S.243	0.19307733	-0.012567642			
S.245	1Soil	Temperate grassland	Stipa	Gramineae	S.245	0.17917056	0.059618699			
S.246	1Soil	Temperate grassland	Agropyron	Gramineae	S.246	0.150297503	-0.011768615			
